cupsid,valuation,shares,filedFor,cik,ticker
86791410,84921,2344600,2008-06-30,750556,
86791410,31149,860000,2008-06-30,750556,
89102710,4548,77551,2008-06-30,320335,GL
89102710,26377,449728,2008-06-30,320335,GL
89102710,97177,1656900,2008-06-30,320335,GL
89102710,37518,639700,2008-06-30,320335,GL
90297330,650041,23307300,2008-06-30,36104,USB
90297330,785757,28173426,2008-06-30,36104,USB
90297330,233300,8365000,2008-06-30,36104,USB
90297330,135721,4866300,2008-06-30,36104,USB
90297330,60633,2174000,2008-06-30,36104,USB
90297330,48668,1745000,2008-06-30,36104,USB
90329340,504825,17072192,2008-06-30,757011,
90781810,672403,8906000,2008-06-30,100885,UNP
91131210,87853,1429200,2008-06-30,809697,UPS
91324P10,168000,6400000,2008-06-30,731766,UNH
92927K10,125442,2700000,2008-06-30,1390844,WBC1EUR
93114210,1067704,18998300,2008-06-30,104169,WMT
93114210,53165,946000,2008-06-30,104169,WMT
93964010,524867,894304,2008-06-30,104889,
93964010,87044,148311,2008-06-30,104889,
93964010,380408,648165,2008-06-30,104889,
93964010,21706,36985,2008-06-30,104889,
94974610,1270374,53489420,2008-06-30,105598,WFC
94974610,300276,12643200,2008-06-30,105598,WFC
94974610,909935,38313040,2008-06-30,105598,WFC
94974610,66215,2788000,2008-06-30,105598,WFC
94974610,23750,1000000,2008-06-30,105598,WFC
94974610,3077798,129591488,2008-06-30,105598,WFC
94974610,38231,1609720,2008-06-30,105598,WFC
94974610,40375,1700000,2008-06-30,105598,WFC
94974610,19475,820000,2008-06-30,105598,WFC
94974610,475000,20000000,2008-06-30,105598,WFC
94974610,380000,16000000,2008-06-30,105598,WFC
94974610,190000,8000000,2008-06-30,105598,WFC
94974610,64125,2700000,2008-06-30,105598,WFC
94974610,47500,2000000,2008-06-30,105598,WFC
949773V10,228768,4800000,2008-06-30,1156039,
95081710,2181431,5703087,2008-06-30,105729,
02581610,753094,17225400,2008-03-31,922812,AXP
02581610,349525,7994634,2008-03-31,922812,AXP
02581610,5257587,120255879,2008-03-31,922812,AXP
02581610,84952,1943100,2008-03-31,922812,AXP
02581610,61195,1399713,2008-03-31,922812,AXP
02581610,36717,839832,2008-03-31,922812,AXP
02581610,85348,1952142,2008-03-31,922812,AXP
03522910,1678354,35371000,2008-03-31,310569,
03522910,9120,192200,2008-03-31,310569,
06050510,344981,9100000,2008-03-31,70858,BAC
12189T10,5882291,63785418,2008-03-31,315066,
14313010,413646,21300000,2008-03-31,1170010,KMX
19121610,24348,400000,2008-03-31,21344,KO
19121610,108105,1776000,2008-03-31,21344,KO
19121610,438605,7205600,2008-03-31,21344,KO
19121610,2443419,40141600,2008-03-31,21344,KO
19121610,8518489,139945600,2008-03-31,21344,KO
19121610,556303,9139200,2008-03-31,21344,KO
19121610,29218,480000,2008-03-31,21344,KO
19121610,55513,912000,2008-03-31,21344,KO
20030N20,227640,12000000,2008-03-31,22301,
20033410,11813,1217795,2008-03-31,1179484,
20033410,2938,302862,2008-03-31,1179484,
20033410,167,17209,2008-03-31,1179484,
20825C10,1334338,17508700,2008-03-31,78214,COP
22160K10,341352,5254000,2008-03-31,1393231,COST
36473010,100153,3447600,2008-03-31,39899,
36960410,287860,7777900,2008-03-31,40545,GE
37733W10,64091,1510500,2008-03-31,1131399,
43707610,116943,4181000,2008-03-31,354950,HD
G4776G10,28353,636600,2008-03-31,50485,
G4776G10,13374,300000,2008-03-31,50485,
46284610,89161,3372200,2008-03-31,1020882,
47816010,280401,4322500,2008-03-31,200406,JNJ
47816010,1314675,20266300,2008-03-31,200406,JNJ
47816010,1711669,26386148,2008-03-31,200406,JNJ
47816010,21102,325300,2008-03-31,200406,JNJ
47816010,589487,9087200,2008-03-31,200406,JNJ
47816010,51377,792000,2008-03-31,200406,JNJ
47816010,37300,575000,2008-03-31,200406,JNJ
50075N10,2766787,89222400,2008-03-31,1103982,
50075N10,954807,30790300,2008-03-31,1103982,
50075N10,310100,10000000,2008-03-31,1103982,
50075N10,8056,259800,2008-03-31,1103982,
50075N10,248080,8000000,2008-03-31,1103982,
54866110,160580,7000000,2008-03-31,60667,LOW
55261F10,483150,6003360,2008-03-31,36270,MTB
55261F10,43942,546000,2008-03-31,36270,MTB
55261F10,13336,165700,2008-03-31,36270,MTB
61536910,1124333,32280600,2008-03-31,1059556,DUT
61536910,547507,15719400,2008-03-31,1059556,DUT
65410610,519588,7641000,2008-03-31,320187,NKE
65584410,105001,1933000,2008-03-31,702165,NSC
74271810,4099095,58500000,2008-03-31,80424,PG
74271810,1524163,21752000,2008-03-31,80424,PG
74271810,437237,6240000,2008-03-31,80424,PG
74271810,501316,7154500,2008-03-31,80424,PG
74271810,54655,780000,2008-03-31,80424,PG
74271810,109309,1560000,2008-03-31,80424,PG
74271810,384369,5485500,2008-03-31,80424,PG
74271810,306556,4375000,2008-03-31,80424,PG
80105N10,18338,488500,2008-03-31,1121404,SNY
80105N10,96813,2578933,2008-03-31,1121404,SNY
80105N10,6356,169300,2008-03-31,1121404,SNY
