cik,filedFor,ticker,no_shares,value,nameOfIssuer
1067983,2013-12-31,PSX,9113650,702936000,PHILLIPS 66
1067983,2013-12-31,PSX,999650,77103000,PHILLIPS 66
1067983,2013-12-31,PSX,10554818,814093000,PHILLIPS 66
1067983,2013-12-31,PCP,1184735,319049000,PRECISION CASTPARTS CORP
1067983,2013-12-31,PCP,792601,213447000,PRECISION CASTPARTS CORP
1067983,2013-12-31,PG,315400,25677000,PROCTER & GAMBLE CO
1067983,2013-12-31,PG,20280000,1650995000,PROCTER & GAMBLE CO
1067983,2013-12-31,PG,1560000,127000000,PROCTER & GAMBLE CO
1067983,2013-12-31,PG,6240000,507998000,PROCTER & GAMBLE CO
1067983,2013-12-31,PG,6240000,507998000,PROCTER & GAMBLE CO
1067983,2013-12-31,PG,17377678,1414717000,PROCTER & GAMBLE CO
1067983,2013-12-31,PG,780000,63500000,PROCTER & GAMBLE CO
1067983,2013-12-31,STRZA,2622340,76677000,STARZ
1067983,2013-12-31,STRZA,1919541,56127000,STARZ
1067983,2013-12-31,GL,116326,9091000,TORCHMARK CORP
1067983,2013-12-31,GL,674592,52719000,TORCHMARK CORP
1067983,2013-12-31,GL,959550,74989000,TORCHMARK CORP
1067983,2013-12-31,GL,2485350,194230000,TORCHMARK CORP
1067983,2013-12-31,USB,590275,23847000,US BANCORP DEL
1067983,2013-12-31,USB,3070000,124028000,US BANCORP DEL
1067983,2013-12-31,USB,23307300,941615000,US BANCORP DEL
1067983,2013-12-31,USB,12679300,512244000,US BANCORP DEL
1067983,2013-12-31,USB,4204800,169874000,US BANCORP DEL
1067983,2013-12-31,USB,3050000,123220000,US BANCORP DEL
1067983,2013-12-31,USB,30674226,1239239000,US BANCORP DEL
1067983,2013-12-31,USB,1745000,70498000,US BANCORP DEL
1067983,2013-12-31,USG,11403509,323632000,U S G CORP
1067983,2013-12-31,USG,23486665,666552000,U S G CORP
1067983,2013-12-31,UPS,59400,6242000,UNITED PARCEL SERVICE INC
1067983,2013-12-31,VRSN,4522000,270325000,VERISIGN INC
1067983,2013-12-31,VRSN,6439520,384955000,VERISIGN INC
1067983,2013-12-31,VRSK,1563434,102749000,VERISK ANALYTICS INC
1067983,2013-12-31,VIAB,3954000,345342000,VIACOM INC NEW
1067983,2013-12-31,VIAB,3653200,319070000,VIACOM INC NEW
1067983,2013-12-31,V,1555459,346370000,VISA INC
1067983,2013-12-31,WBC,2433632,227326000,WABCO HLDGS INC
1067983,2013-12-31,WBC,1642693,153444000,WABCO HLDGS INC
1067983,2013-12-31,WMT,290000,22820000,WAL MART STORES INC
1067983,2013-12-31,WMT,170000,13377000,WAL MART STORES INC
1067983,2013-12-31,WMT,29500,2321000,WAL MART STORES INC
1067983,2013-12-31,WMT,4200000,330498000,WAL MART STORES INC
1067983,2013-12-31,WMT,1533840,120698000,WAL MART STORES INC
1067983,2013-12-31,WMT,256000,20145000,WAL MART STORES INC
1067983,2013-12-31,WMT,946000,74441000,WAL MART STORES INC
1067983,2013-12-31,WMT,1789000,140776000,WAL MART STORES INC
1067983,2013-12-31,WMT,849000,66808000,WAL MART STORES INC
